index,Sex,Type,Age,Date,Value
1745,MĘŻCZYŹNI,D+E,25-34,2021,1145
1744,MĘŻCZYŹNI,D+E,18-24,2021,119
1743,MĘŻCZYŹNI,D,od 65,2021,4
1742,MĘŻCZYŹNI,D,55-64,2021,122
1741,MĘŻCZYŹNI,D,45-54,2021,695
1740,MĘŻCZYŹNI,D,35-44,2021,1403
1727,MĘŻCZYŹNI,C1,55-64,2021,351
1739,MĘŻCZYŹNI,D,25-34,2021,1397
1737,MĘŻCZYŹNI,CE,35-44,2021,1
1736,MĘŻCZYŹNI,CE,25-34,2021,1
1735,MĘŻCZYŹNI,C1E,25-34,2021,1
1734,MĘŻCZYŹNI,C1+E,od 65,2021,16
1733,MĘŻCZYŹNI,C1+E,55-64,2021,418
1732,MĘŻCZYŹNI,C1+E,45-54,2021,2718
1731,MĘŻCZYŹNI,C1+E,35-44,2021,7758
1730,MĘŻCZYŹNI,C1+E,25-34,2021,12284
1738,MĘŻCZYŹNI,D,18-24,2021,228
1704,MĘŻCZYŹNI,B1,25-34,2021,20383
1725,MĘŻCZYŹNI,C1,35-44,2021,8022
1702,MĘŻCZYŹNI,B+E,od 65,2021,58
1680,MĘŻCZYŹNI,A2,25-34,2021,11936
1679,MĘŻCZYŹNI,A2,18-24,2021,6549
1678,MĘŻCZYŹNI,A1,od 65,2021,44
1677,MĘŻCZYŹNI,A1,55-64,2021,258
1676,MĘŻCZYŹNI,A1,45-54,2021,2273
1675,MĘŻCZYŹNI,A1,35-44,2021,8310
1674,MĘŻCZYŹNI,A1,25-34,2021,11860
1672,MĘŻCZYŹNI,A,od 65,2021,28
1671,MĘŻCZYŹNI,A,55-64,2021,222
1670,MĘŻCZYŹNI,A,45-54,2021,2163
1669,MĘŻCZYŹNI,A,35-44,2021,8131
1668,MĘŻCZYŹNI,A,25-34,2021,12474
1667,MĘŻCZYŹNI,A,18-24,2021,3288
1666,KOBIETY,U,45-54,2021,8
1665,KOBIETY,U,35-44,2021,22
1664,KOBIETY,U,25-34,2021,24
1703,MĘŻCZYŹNI,B1,18-24,2021,149019
1663,KOBIETY,U,18-24,2021,7
1662,KOBIETY,T,od 65,2021,5
1681,MĘŻCZYŹNI,A2,35-44,2021,8330
1682,MĘŻCZYŹNI,A2,45-54,2021,2295
1673,MĘŻCZYŹNI,A1,18-24,2021,5611
1683,MĘŻCZYŹNI,A2,55-64,2021,266
1701,MĘŻCZYŹNI,B+E,55-64,2021,735
1699,MĘŻCZYŹNI,B+E,35-44,2021,11553
1698,MĘŻCZYŹNI,B+E,25-34,2021,15395
1697,MĘŻCZYŹNI,B+E,18-24,2021,10596
1696,MĘŻCZYŹNI,B,od 65,2021,130
1695,MĘŻCZYŹNI,B,55-64,2021,554
1694,MĘŻCZYŹNI,B,45-54,2021,2431
1693,MĘŻCZYŹNI,B,35-44,2021,8719
1692,MĘŻCZYŹNI,B,25-34,2021,20041
1700,MĘŻCZYŹNI,B+E,45-54,2021,4384
1684,MĘŻCZYŹNI,A2,od 65,2021,47
1690,MĘŻCZYŹNI,AM,od 65,2021,195
1689,MĘŻCZYŹNI,AM,55-64,2021,641
1688,MĘŻCZYŹNI,AM,45-54,2021,2609
1687,MĘŻCZYŹNI,AM,35-44,2021,9076
1686,MĘŻCZYŹNI,AM,25-34,2021,20370
1685,MĘŻCZYŹNI,AM,18-24,2021,141926
1691,MĘŻCZYŹNI,B,18-24,2021,149583
128,MĘŻCZYŹNI,B1,25-34,2022,16490
127,MĘŻCZYŹNI,B1,18-24,2022,135538
126,MĘŻCZYŹNI,B+E,od 65,2022,104
120,MĘŻCZYŹNI,B,od 65,2022,134
124,MĘŻCZYŹNI,B+E,45-54,2022,5249
123,MĘŻCZYŹNI,B+E,35-44,2022,12901
129,MĘŻCZYŹNI,B1,35-44,2022,7982
121,MĘŻCZYŹNI,B+E,18-24,2022,10340
125,MĘŻCZYŹNI,B+E,55-64,2022,792
122,MĘŻCZYŹNI,B+E,25-34,2022,15836
133,MĘŻCZYŹNI,C,18-24,2022,9738
131,MĘŻCZYŹNI,B1,55-64,2022,551
132,MĘŻCZYŹNI,B1,od 65,2022,699
134,MĘŻCZYŹNI,C,25-34,2022,14300
140,MĘŻCZYŹNI,C+E,25-34,2022,11967
135,MĘŻCZYŹNI,C,35-44,2022,8165
136,MĘŻCZYŹNI,C,45-54,2022,3078
139,MĘŻCZYŹNI,C+E,18-24,2022,7169
137,MĘŻCZYŹNI,C,55-64,2022,371
138,MĘŻCZYŹNI,C,od 65,2022,20
130,MĘŻCZYŹNI,B1,45-54,2022,2434
119,MĘŻCZYŹNI,B,55-64,2022,491
100,MĘŻCZYŹNI,A1,45-54,2022,2709
117,MĘŻCZYŹNI,B,35-44,2022,7678
97,MĘŻCZYŹNI,A1,18-24,2022,5586
141,MĘŻCZYŹNI,C+E,35-44,2022,8400
98,MĘŻCZYŹNI,A1,25-34,2022,12904
99,MĘŻCZYŹNI,A1,35-44,2022,8672
101,MĘŻCZYŹNI,A1,55-64,2022,267
102,MĘŻCZYŹNI,A1,od 65,2022,4165
103,MĘŻCZYŹNI,A2,18-24,2022,6690
104,MĘŻCZYŹNI,A2,25-34,2022,13029
105,MĘŻCZYŹNI,A2,35-44,2022,8720
118,MĘŻCZYŹNI,B,45-54,2022,2264
106,MĘŻCZYŹNI,A2,45-54,2022,2721
108,MĘŻCZYŹNI,A2,od 65,2022,48
109,MĘŻCZYŹNI,AM,18-24,2022,128169
110,MĘŻCZYŹNI,AM,25-34,2022,16430
111,MĘŻCZYŹNI,AM,35-44,2022,7981
112,MĘŻCZYŹNI,AM,45-54,2022,2422
113,MĘŻCZYŹNI,AM,55-64,2022,590
114,MĘŻCZYŹNI,AM,od 65,2022,8690
115,MĘŻCZYŹNI,B,18-24,2022,136122
116,MĘŻCZYŹNI,B,25-34,2022,16076
107,MĘŻCZYŹNI,A2,55-64,2022,276
142,MĘŻCZYŹNI,C+E,45-54,2022,3248
184,MĘŻCZYŹNI,T,45-54,2022,4379
144,MĘŻCZYŹNI,C+E,od 65,2022,17
170,MĘŻCZYŹNI,D1,25-34,2022,1463
171,MĘŻCZYŹNI,D1,35-44,2022,1487
172,MĘŻCZYŹNI,D1,45-54,2022,943
173,MĘŻCZYŹNI,D1,55-64,2022,209
174,MĘŻCZYŹNI,D1,od 65,2022,9
175,MĘŻCZYŹNI,D1+E,18-24,2022,124
176,MĘŻCZYŹNI,D1+E,25-34,2022,1017
177,MĘŻCZYŹNI,D1+E,35-44,2022,1220
178,MĘŻCZYŹNI,D1+E,45-54,2022,686
169,MĘŻCZYŹNI,D1,18-24,2022,306
179,MĘŻCZYŹNI,D1+E,55-64,2022,120
181,MĘŻCZYŹNI,T,18-24,2022,10702
182,MĘŻCZYŹNI,T,25-34,2022,15619
183,MĘŻCZYŹNI,T,35-44,2022,12594
185,MĘŻCZYŹNI,T,55-64,2022,578
186,MĘŻCZYŹNI,T,od 65,2022,2900
187,MĘŻCZYŹNI,U,18-24,2022,28
188,MĘŻCZYŹNI,U,25-34,2022,55
189,MĘŻCZYŹNI,U,35-44,2022,53
96,MĘŻCZYŹNI,A,od 65,2022,29
180,MĘŻCZYŹNI,D1+E,od 65,2022,11
168,MĘŻCZYŹNI,D+E,od 65,2022,11
167,MĘŻCZYŹNI,D+E,55-64,2022,113
166,MĘŻCZYŹNI,D+E,45-54,2022,674
145,MĘŻCZYŹNI,C1,18-24,2022,9736
146,MĘŻCZYŹNI,C1,25-34,2022,14361
147,MĘŻCZYŹNI,C1,35-44,2022,8277
148,MĘŻCZYŹNI,C1,45-54,2022,3170
149,MĘŻCZYŹNI,C1,55-64,2022,410
150,MĘŻCZYŹNI,C1,od 65,2022,27
151,MĘŻCZYŹNI,C1+E,18-24,2022,7162
152,MĘŻCZYŹNI,C1+E,25-34,2022,11993
153,MĘŻCZYŹNI,C1+E,35-44,2022,8480
154,MĘŻCZYŹNI,C1+E,45-54,2022,3330
155,MĘŻCZYŹNI,C1+E,55-64,2022,379
156,MĘŻCZYŹNI,C1+E,od 65,2022,21
157,MĘŻCZYŹNI,D,18-24,2022,304
158,MĘŻCZYŹNI,D,25-34,2022,1456
159,MĘŻCZYŹNI,D,35-44,2022,1466
160,MĘŻCZYŹNI,D,45-54,2022,921
161,MĘŻCZYŹNI,D,55-64,2022,195
162,MĘŻCZYŹNI,D,od 65,2022,7
163,MĘŻCZYŹNI,D+E,18-24,2022,123
164,MĘŻCZYŹNI,D+E,25-34,2022,1014
165,MĘŻCZYŹNI,D+E,35-44,2022,1207
143,MĘŻCZYŹNI,C+E,55-64,2022,351
95,MĘŻCZYŹNI,A,55-64,2022,238
9,KOBIETY,A1,45-54,2022,203
93,MĘŻCZYŹNI,A,35-44,2022,8539
24,KOBIETY,B,18-24,2022,121811
25,KOBIETY,B,25-34,2022,25510
26,KOBIETY,B,35-44,2022,12417
27,KOBIETY,B,45-54,2022,4919
28,KOBIETY,B,55-64,2022,1535
29,KOBIETY,B,od 65,2022,190
30,KOBIETY,B+E,18-24,2022,556
31,KOBIETY,B+E,25-34,2022,693
32,KOBIETY,B+E,35-44,2022,660
23,KOBIETY,AM,od 65,2022,1714
33,KOBIETY,B+E,45-54,2022,176
35,KOBIETY,B1,18-24,2022,121466
36,KOBIETY,B1,25-34,2022,25705
37,KOBIETY,B1,35-44,2022,12589
38,KOBIETY,B1,45-54,2022,5001
39,KOBIETY,B1,55-64,2022,1547
40,KOBIETY,B1,od 65,2022,554
41,KOBIETY,C,18-24,2022,538
42,KOBIETY,C,25-34,2022,818
43,KOBIETY,C,35-44,2022,638
34,KOBIETY,B+E,55-64,2022,9
44,KOBIETY,C,45-54,2022,191
22,KOBIETY,AM,55-64,2022,1559
20,KOBIETY,AM,35-44,2022,12562
190,MĘŻCZYŹNI,U,45-54,2022,28
0,KOBIETY,A,18-24,2022,230
1,KOBIETY,A,25-34,2022,1411
2,KOBIETY,A,35-44,2022,767
3,KOBIETY,A,45-54,2022,199
4,KOBIETY,A,55-64,2022,7
5,KOBIETY,A,od 65,2022,1
6,KOBIETY,A1,18-24,2022,700
7,KOBIETY,A1,25-34,2022,1375
21,KOBIETY,AM,45-54,2022,4992
8,KOBIETY,A1,35-44,2022,771
11,KOBIETY,A1,od 65,2022,546
12,KOBIETY,A2,18-24,2022,701
13,KOBIETY,A2,25-34,2022,1372
14,KOBIETY,A2,35-44,2022,770
15,KOBIETY,A2,45-54,2022,204
16,KOBIETY,A2,55-64,2022,7
17,KOBIETY,A2,od 65,2022,1
18,KOBIETY,AM,18-24,2022,120606
19,KOBIETY,AM,25-34,2022,25645
10,KOBIETY,A1,55-64,2022,7
45,KOBIETY,C,55-64,2022,9
46,KOBIETY,C+E,18-24,2022,355
47,KOBIETY,C+E,25-34,2022,514
73,KOBIETY,D1,35-44,2022,200
74,KOBIETY,D1,45-54,2022,123
75,KOBIETY,D1,55-64,2022,5
76,KOBIETY,D1+E,18-24,2022,6
77,KOBIETY,D1+E,25-34,2022,50
78,KOBIETY,D1+E,35-44,2022,60
79,KOBIETY,D1+E,45-54,2022,19
80,KOBIETY,D1+E,55-64,2022,1
81,KOBIETY,T,18-24,2022,607
72,KOBIETY,D1,25-34,2022,186
82,KOBIETY,T,25-34,2022,702
84,KOBIETY,T,45-54,2022,172
85,KOBIETY,T,55-64,2022,12
86,KOBIETY,T,od 65,2022,68
87,KOBIETY,U,18-24,2022,7
88,KOBIETY,U,25-34,2022,24
89,KOBIETY,U,35-44,2022,28
90,KOBIETY,U,45-54,2022,12
91,MĘŻCZYŹNI,A,18-24,2022,3407
92,MĘŻCZYŹNI,A,25-34,2022,13751
83,KOBIETY,T,35-44,2022,662
71,KOBIETY,D1,18-24,2022,33
70,KOBIETY,D+E,55-64,2022,1
69,KOBIETY,D+E,45-54,2022,19
48,KOBIETY,C+E,35-44,2022,444
49,KOBIETY,C+E,45-54,2022,137
50,KOBIETY,C+E,55-64,2022,6
51,KOBIETY,C1,18-24,2022,538
52,KOBIETY,C1,25-34,2022,818
53,KOBIETY,C1,35-44,2022,640
54,KOBIETY,C1,45-54,2022,190
55,KOBIETY,C1,55-64,2022,9
56,KOBIETY,C1+E,18-24,2022,355
57,KOBIETY,C1+E,25-34,2022,514
58,KOBIETY,C1+E,35-44,2022,446
59,KOBIETY,C1+E,45-54,2022,136
60,KOBIETY,C1+E,55-64,2022,6
61,KOBIETY,D,18-24,2022,33
62,KOBIETY,D,25-34,2022,187
63,KOBIETY,D,35-44,2022,199
64,KOBIETY,D,45-54,2022,123
65,KOBIETY,D,55-64,2022,5
66,KOBIETY,D+E,18-24,2022,6
67,KOBIETY,D+E,25-34,2022,51
68,KOBIETY,D+E,35-44,2022,62
94,MĘŻCZYŹNI,A,45-54,2022,2567
191,MĘŻCZYŹNI,U,55-64,2022,6
